Num,Document ,url,type,Pub_date,Access_date,Search,Databse,Type_actor,Condensed_gov_actors,Condensed_level,Condensed_function,Political_actor,Pol_actor_persp,Law_detailed,State_of_science,Process_as_is,Distinct_population,Recovery_goals,Agency_capacity,Human_wildlife_conflict,Native_persp,Costs_mgmt,Privateland_losshabitat,Hunting_mgmt,Climate_change
1562,Pragmatism and the politics of rewilding nature: The case of grizzly bear reintroduction in Idaho,https://www.proquest.com/docview/304992017/F9CEEF7C993E45D1PQ/126?accountid=14793&sourcetype=Dissertations%20&%20Theses,Dissertation or Thesis,1/1/05,9/3/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,The U. S. Fish and Wildlife Service (USFWS) proposes toestablish an experimental population rule and reintroduce grizzly bearsinto the Bitterroot Ecosystem (BE) in east central Idaho. The rule wouldallow liberal management of grizzly bears by government agencies and thePublic to minimize conflicts over uses of Public lands effects on domesticanimals and livestock and impacts on ungulate populations. A CitizenManagement Committee would be authorized managementimplementation responsibility for the experimental population and wouldbe tasked with implementing the Bitterroot Chapter of the Grizzly BearRecovery Plan.,,,,,,,,,,The blame cannot be laid completely at the feet of sheep herders ñ their effortswere just the final nail in the Bitterroot grizzlyís coffin. For a couple of decades beforethe great burn sport hunters and trappers killed dozens of grizzlies every year in theBitterroot country (Moore 1996).,
1563,Its time for a revolution -- and an endangered species act,https://www.proquest.com/docview/500696431/F9CEEF7C993E45D1PQ/129?accountid=14793&sourcetype=Newspapers,Newspaper,6/14/10,9/3/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Jeff Gailus ,,,Our governments . . . have become unresponsive and unaccountable beasts I wrote in The Grizzly Manifesto. Wake up. It is time for a revolution.,,,,Our governments . . . have become unresponsive and unaccountable beasts I wrote in The Grizzly Manifesto. Wake up. It is time for a revolution.,,,,,,
1564,GRIZZLY BEAR ECOLOGY AND MANAGEMENT IN THE MISSION MOUNTAINS MONTANA,https://www.proquest.com/docview/303164016/F9CEEF7C993E45D1PQ/130?accountid=14793&sourcetype=Dissertations%20&%20Theses,Dissertation or Thesis,1/1/81,9/3/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,,The Mission Mountains in western Montana were chosen fo r this study because of recurring man-bear habitat conflicts in low elevation areas on both sides of the range and increasing forest management a c tiv itie s affecting habitat quality and a v a ila b ility . ,,,,,
1565,The grizzly bears return: [1],https://www.proquest.com/docview/1784061784/F9CEEF7C993E45D1PQ/133?accountid=14793&sourcetype=Newspapers,Newspaper,4/24/16,9/3/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,While theyre listed the bears receive federal protection; among other things there may be no sport hunting. If theyre delisted management reverts to state agencies which are expected to permit hunting.Many protections would remain. The three states would be required to sign a wide-ranging detailed conservation plan drawn up by the federal government that will require monitoring of the population and mortality data in perpetuity. The Fish and Wildlife Service would be able to relist the bears within weeks on an emergency basis if the states depart from the strict regulations or if the population declines.Under the conservation plans killing a bear for sport -- or even killing a nuisance bear -- would be highly regulated and the number of allowable kills each year would be calculated on the previous years population and mortality figures. Most years that number will not exceed the low double digits and more likely would be in the single digits or even zero. With meticulous management and monitoring the grizzly should be,,,,,,Under the conservation plans killing a bear for sport -- or even killing a nuisance bear -- would be highly regulated and the number of allowable kills each year would be calculated on the previous years population and mortality figures. Most years that number will not exceed the low double digits and more likely would be in the single digits or even zero. With meticulous management and monitoring the grizzly should be able to survive and thrive.,,,,Under the conservation plans killing a bear for sport -- or even killing a nuisance bear -- would be highly regulated and the number of allowable kills each year would be calculated on the previous years population and mortality figures. Most years that number will not exceed the low double digits and more likely would be in the single digits or even zero. With meticulous management and monitoring the grizzly should be able to survive and thrive.,
1566,Endangered Species Act: A New Look: [FINAL Edition],https://www.proquest.com/docview/406850831/91DB8F5512874848PQ/1?accountid=14793&sourcetype=Newspapers,Newspaper,1/30/94,9/3/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,With this in mind Interior Secretary [Bruce E. Babbitt] has pressed for a national biological survey to catalog systematically the nations plants and animals and determine which could be in danger. By using survey results Mr. Babbitt hopes to avoid train wreck scenarios in dealing with endangered species protection plans. He wants to protect entire ecosystems that support abundant fragile species rather than focusing on single species plans.,,,,,,,,,,,
1567,U.S. drafts plan to bring grizzly bears back to Washington’s North Cascades,https://www.proquest.com/docview/2885953825/75FDADD362F04425PQ/501?accountid=14793&sourcetype=Blogs%20Podcasts%20&%20Websites,Blog Podcast or Website,11/4/23,9/3/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,Grizzlies once played a key role in north-central Washingtons vast expanse of forest mountains and valleys. Now the North Cascades is one of the last places left in the Lower 48 states where grizzly bears would be able to thrive — and U.S. agencies are evaluating whether to start a population there that could grow to 200 bears within a century.,,,,,,,,,,,
1571,Like grizzlies new FWP bear managers based on the prairie: More private land means higher risk of conflict between people bears,https://www.proquest.com/docview/1955085054/75FDADD362F04425PQ/502?accountid=14793&sourcetype=Newspapers,Newspaper,10/22/17,9/3/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,1) More conflicts seem to occur when winters are mild and bears emerge from dens sooner than usual before growing season begins with less natural food available Sarmento says. 2) The school bus used to drop the kids off at the end of the driveway. The driver now continues up the driveway so the children can exit closer to the door of the Forbes home. The change was made because of bears.,,,He is trying to raise $10000 to $20000 in grants to purchase a vacuum trailer that can suck up grain spilled when its being conveyed from trucks to grain bins. (Qoute from article),,,
1572,Coexistence: The human/grizzly bear interface in a rural community of British Columbia,https://www.proquest.com/docview/1416419661/43F6B44E62E7460FPQ/141?accountid=14793&sourcetype=Dissertations%20&%20Theses,Dissertation or Thesis,1/1/23,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,,1) From the days of European settlement humans are the greatest cause of grizzly bearmortality (Mattson & Merrill 2002). There is a long history of conflicts between humans andgrizzly bears especially on agricultural land used for livestock production where people havesystematically eradicated grizzly bears and other large predators 2) hen addressing these conflicts both humans and grizzly bear populations can benefit from management approaches that enable land users and authorities to work together torecognize and prevent these situations before they happen (Wilson et al. 2006).,,,In the first 75 years of the 20th century grizzly bear distribution in North Americadecreased by 98% south of the Canada/US border due to habitat loss and conflicts with humans(Mattson & Merrill 2002). In British Columbia (BC) extirpated grizzly populations have adirect correlation to either historical and/or current high human density (Lower Mainland) highresource extraction and processing areas associated with high historical human density (SunshineCoast) or to ranching/agricultural areas (Fraser Valley/Okanagan/Caribou/Peace River areas). ,,
1575,How the culture wars came for grizzly bears,https://www.proquest.com/docview/2898108406/43F6B44E62E7460FPQ/301?accountid=14793&sourcetype=Magazines,Magazine,12/5/23,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,Mr Gianforte is a central character in this drama. In 2021 he petitioned the Fish and Wildlife Service to remove the NCDE grizzlies from the endangered-species list arguing that the bears have fully recovered. Wyoming and Idaho sent similar petitions about the GYE bears and the entire population of grizzlies in the lower 48 respectively. The latter petition was denied. But the agency could decide as early as February whether the bears in the other two ecosystems still need federal protections.,,But the growing risk of human-bear conflicts is not only due to the bear boom. Montana’s human population grew by nearly 12% in the decade to 2022 almost twice the national rate. That of Gallatin County which includes part of the GYE grew by a whopping 35% in the same period. Greg Gianforte the state’s RePublican governor attributes some of the growth to the popularity of the hit television show Yellowstone (a ranching drama) and the allure of wild places and remote work during the covid-19 pandemic. ,,,But the growing risk of human-bear conflicts is not only due to the bear boom. Montana’s human population grew by nearly 12% in the decade to 2022 almost twice the national rate. That of Gallatin County which includes part of the GYE grew by a whopping 35% in the same period. Greg Gianforte the state’s RePublican governor attributes some of the growth to the popularity of the hit television show Yellowstone (a ranching drama) and the allure of wild places and remote work during the covid-19 pandemic. ,,
1576,ENDANGERED SPECIES ACT IS ENDANGERED,https://www.proquest.com/docview/1494107164/43F6B44E62E7460FPQ/303?accountid=14793&sourcetype=Newspapers,Newspaper,8/2/88,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,The word on Capitol Hill is that Congress may yet agree on a bill to reauthorize the Endangered Species Act before the session ends in October.,,,,,...Simpson also questioned efforts to preserve the grizzly bear in Montana. After months of negotiations it now appears that these major objections are close to resolution.,,,,,,
1577,Climate Change Attribution Science and the Endangered Species Act,https://www.proquest.com/docview/2684218792/43F6B44E62E7460FPQ/304?accountid=14793&sourcetype=Scholarly%20Journals,Scholarly Journal,1/1/22,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,On review the Ninth Circuit found that FWS had failed to articulate a rational connection between the data before it-which showed that climate change could cause a serious decline in this food source-and its conclusion that such declines were not likely to threaten the Yellowstone grizzly bear.100 The court found that FWS was requiring too high a level of certainty for the purposes of ESA protection. It recognized that scientific uncertainty generally calls for deference to agency expertise but explained that it was insufficient for an agency to merely invoke scientific uncertainty to justify an action such as a delisting decision particularly where there is evidence however uncertain of a threat to the species.101 To the contrary FWS needed to rationally explain why uncertainty about the impact of whitebark pine loss on the grizzly bear would justify a delisting decision rather than further study.102FWS again sought to delist the Yellowstone grizzly bear DPS in 2017 which gave rise to another lawsuit. Again the Ninth Circuit found that FWS had failed to justify the delisting decision-however the appellate decision did not touch on climate-related threats or climate science.103,,,,,,,,,,,1)Climate change poses an enormous risk to plant and animal species across the planet. Mean global temperatures have already increased by approximately 1°C causing environmental changes that affect species abundance distribution behavior physiology genetics and survival prospects. These changes combined with other human stressors have already resulted in the extinction of some species and imperiled many others. 2) Climate science also played a significant role in litigation concerning the FWSs 2007 removal of the Yellowstone DPS of grizzly bears from the threatened species list.
1578,The grizzlies deserve better neighbours,https://www.proquest.com/docview/862898495/6F70DF7FF77D4873PQ/981?accountid=14793&sourcetype=Newspapers,Newspaper,4/14/11,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,1) In northwest Montana large amounts of habitat are protected from motorized access and other human intrusions and grizzly hunting is prohibited under the U.S. Endangered Species Act. Grizzly populations in these areas have increased dramatically for more than two decades.This shows that the combination of habitat protection and hunting restrictions might keep grizzlies from declining further in other parts of their range. We have the motivation and tools to protect grizzly bears but it will take a renewed commitment to conservation by the B.C. government to ensure the long-term survival and health of our wild and cherished neighbours. Lets work together to make sure this happens soon.,,,,,,Sometimes we kill grizzlies directly by trophy hunting poaching hitting them with cars or destroying problem bears that eat our garbage. According to the B.C. government 317 grizzlies were killed in British Columbia last year mostly in the legal trophy hunt.,,,,1) Sometimes we kill grizzlies directly by trophy hunting poaching hitting them with cars or destroying problem bears that eat our garbage. According to the B.C. government 317 grizzlies were killed in British Columbia last year mostly in the legal trophy hunt. 2) 1) In northwest Montana large amounts of habitat are protected from motorized access and other human intrusions and grizzly hunting is prohibited under the U.S. Endangered Species Act. Grizzly populations in these areas have increased dramatically for more than two decades.This shows that the combination of habitat protection and hunting restrictions might keep grizzlies from declining further in other parts of their range. We have the motivation and tools to protect grizzly bears but it will take a renewed commitment to conservation by the B.C. government to ensure the long-term survival and health of our wild and cherished neighbours. Lets work together to make sure this happens soon.,
1580,Endangering the endangered; Trumps weakening of Endangered Species Act protections are a gift to industry but a blow to nature,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/endangering-endangered-trumps-weakening-species/docview/2272141710/se-2?accountid=14793,Newspaper,8/13/19,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,Quote from article: These irresponsible and short-sighted changes will lead to further extinctions damage the ecosystem and set back the nations efforts to protect wildlife -- all as a gift to industry which finds the law costly and burdensome. The new rules will no doubt clear the way for building mining and oil and gas drilling in sensitive areas.The new rules follow a report from the United Nations this year that more than 1 million plants and animals around the world face extinction some within decades owing to human development climate change and other threats.,,,,,,,,Quote from article: These irresponsible and short-sighted changes will lead to further extinctions damage the ecosystem and set back the nations efforts to protect wildlife -- all as a gift to industry which finds the law costly and burdensome. The new rules will no doubt clear the way for building mining and oil and gas drilling in sensitive areas.The new rules follow a report from the United Nations this year that more than 1 million plants and animals around the world face extinction some within decades owing to human development climate change and other threats.,Quote from article: Also the act has always protected species designated as endangered from being taken meaning that they cant be killed or maimed or harassed. A threatened species got the same protection except in the case of a special rule specifying otherwise. The new rules remove that automatic protection for threatened species unless there is a specific rule written. (So the presumption has been reversed; the exception has become the rule.)But a key purpose of the law has been to keep threatened species from becoming endangered species. Wildlife advocates rightly fear that rolling back automatic protections and requiring special action from the Fish and Wildlife Service to protect an endangered species will be a time-consuming process and will leave the service vulnerable to political pressure from developers.,Quote from article: These irresponsible and short-sighted changes will lead to further extinctions damage the ecosystem and set back the nations efforts to protect wildlife -- all as a gift to industry which finds the law costly and burdensome. The new rules will no doubt clear the way for building mining and oil and gas drilling in sensitive areas.The new rules follow a report from the United Nations this year that more than 1 million plants and animals around the world face extinction some within decades owing to human development climate change and other threats.
1586,Opinions divided on future of grizzly Tribes conservationists debate how to manage population of 700 bears,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/opinions-divided-on-future-grizzly-tribes/docview/1917161199/se-2?accountid=14793,Newspaper,7/9/17,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,,,Quote from article: The grizzly bear is sacred to many Native tribes - including the Spokane Kootenai Coeur dAlene and the Confederated Tribes of the Colville Reservation tribal nations all of which signed a treaty of solidarity that aims to protect and reintroduce grizzly bears across their historic range.,,,,
1588,ENDANGERED SPECIES ACT TURNS 25 SPARKS DEBATE: [Final Edition],https://www.proquest.com/docview/255240660/6F70DF7FF77D4873PQ/982?accountid=14793&sourcetype=Newspapers,Newspaper,12/17/98,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,People who question the acts effectiveness note that most of the nations endangered species continue to decline or have an uncertain future. Only about one in 10 species is multiplying.,,,,,,,
1589,Spatial ecology of grizzly bears (Ursus arctos) in the Mackenzie Delta Northwest Territories Canada,https://www.proquest.com/docview/305053662/6F70DF7FF77D4873PQ/983?accountid=14793&sourcetype=Dissertations%20&%20Theses,Dissertation or Thesis,1/1/09,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,,,,,With climate change expected to be greatest in Polar Regions and anthropogenic disturbance increasing in the Arctic current knowledge of how populations meet their resource needs is required. This is particularly true of the grizzly bears (Ursus arctos) of the Mackenzie Delta region the starting point of an oil and gas pipeline.,,With climate change expected to be greatest in Polar Regions and anthropogenic disturbance increasing in the Arctic current knowledge of how populations meet their resource needs is required. This is particularly true of the grizzly bears (Ursus arctos) of the Mackenzie Delta region the starting point of an oil and gas pipeline.
1595,Grizzly debate heats up as Endangered Species Act turns 40,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/grizzly-debate-heats-up-as-endangered-species-act/docview/1472003110/se-2?accountid=14793,Newspaper,12/29/13,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,Quote from article: The anniversary comes as wildlife officials in the northern Rockies are considering lifting protections for hundreds of grizzly bears in and around Yellowstone National Park a move environmental groups decry as short-sighted. The grizzlies were first granted federal protections in 1975 after they had been wiped out across much of their historical range.They have since made a slow comeback prompting the U.S. Fish and Wildlife Service to advance plans on whether to take more than 700 bears across the Yellowstone region of Montana Idaho and Wyoming off the threatened-species list.,,,,,,,
1600,Grizzly committee works on outreach as bear sightings rise,https://www.proquest.com/docview/1910696231/6F70DF7FF77D4873PQ/985?accountid=14793&sourcetype=Newspapers,Newspaper,6/18/17,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,,1) Jonkel said he’s fairly certain Ethyl now dens in the Wisherd Ridge area of the Blackfoot Valley - a spot crucial to grizzly bear connectivity because it links the Rattlesnake Garnet and Sapphire mountain ranges via the Blackfoot and Clark Fork river bottoms. That’s close to a basin where a black-bear hunter self-reported accidentally killing a male grizzly in early June. U.S. Fish and Wildlife Service agents are investigating that incident. 2)  Removing grizzly bears from Endangered Species Act oversight means learning to live with large predators the same way neighborhoods adapt to the presence of mountain lions and black bears.,,,,,
1602,Individual grizzlies defy simple arguments about wildlife laws,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/individual-grizzlies-defy-simple-arguments-about/docview/2930503565/se-2?accountid=14793,Newspaper,1/7/24,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,Quote from article: The Montana grizzly management plan allows more leeway to remove bears that wreak havoc so most bears can coexist peacefully.The Montana plan manages grizzlies as individuals within a group just as other laws manage people as individuals within a group.Some would argue that the bears were here first so we have no right to manage them at all.That argument is simplistic and unrealistic.Not managing grizzlies is a form of management just as allowing wildfires to burn or not holding criminals accountable are forms of management.,,,,,,
1606,GRIZZLY HUNT WOULD BE WRONG IF IT WAS ONLY GOAL OF ESA,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/grizzly-hunt-would-be-wrong-if-was-only-goal-esa/docview/1789405176/se-2?accountid=14793,Newspaper,5/12/16,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote fromm article,,,,,,Quote from article: Fact check: Hunters would not be unleashed. Any grizzly hunting would be on a limited basis with strict quotas and controls. And the Yellowstone region grizzly population is FAR from depleted.The population of 700 or more grizzlies in the Yellowstone region far exceeds the federal recovery criteria.Wildlife managers identify grizzlies in distinct populations. This allows de-listing of bears around Yellowstone even though grizzlies remain protected in the Idaho Selkirk Mountains where recovery is incomplete.About 1700 grizzly bears roam the West with most in Montana and Wyoming. Thats about three times more grizzlies than in the 1970s when Chris Servheen became involved in grizzly research.,,,,,,Quote from article: Fact check: Hunters would not be unleashed. Any grizzly hunting would be on a limited basis with strict quotas and controls. And the Yellowstone region grizzly population is FAR from depleted.The population of 700 or more grizzlies in the Yellowstone region far exceeds the federal recovery criteria.Wildlife managers identify grizzlies in distinct populations. This allows de-listing of bears around Yellowstone even though grizzlies remain protected in the Idaho Selkirk Mountains where recovery is incomplete.About 1700 grizzly bears roam the West with most in Montana and Wyoming. Thats about three times more grizzlies than in the 1970s when Chris Servheen became involved in grizzly research.,
1608,Grizzlies no safer than average bears; The Yellowstone park population is coming off the endangered list and might be hunted again.: [HOME EDITION],https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/grizzlies-no-safer-than-average-bears-yellowstone/docview/422090255/se-2?accountid=14793,Newspaper,3/23/07,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,,,,Quote from article: Wildlife managers have spent $24 million over the last 25 years on grizzly recovery.,,Quote from article: The move means that for the first time in three decades grizzlies could soon be hunted on a limited basis in some parts of the Yellowstone region -- outside the park -- where the largest population of grizzlies in the lower 48 states roams across thousands of square miles of mostly federal wild lands.Were it not for the sanctuary of the park the Yellowstone bears undoubtedly would have vanished victims of hunting and clashes with humans who unwittingly attracted them with open garbage dumps and then took a rifle out to settle the encounter.,
1612,Grizzly report sets big workload for state,https://www.proquest.com/docview/2492043526/5548575F547640A4PQ/988?accountid=14793&sourcetype=Newspapers,Newspaper,9/10/20,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,Montana’s state animal has been under Endangered Species Act protection since 1975. The federal government has tried twice to delist some grizzly bears in the past decade losing court challenges both times. Since listing as a threatened species grizzly bears in the Lower 48 states have expanded from less than 600 to approximately 2000 today. Nearly all of them live in Montana or the Greater Yellowstone Ecosystem at the intersection of Montana Idaho and Wyoming.,,,,Montana’s state animal has been under Endangered Species Act protection since 1975. The federal government has tried twice to delist some grizzly bears in the past decade losing court challenges both times. Since listing as a threatened species grizzly bears in the Lower 48 states have expanded from less than 600 to approximately 2000 today. Nearly all of them live in Montana or the Greater Yellowstone Ecosystem at the intersection of Montana Idaho and Wyoming.,,,,,,,
1617,Influx of grizzly bears compels Montanans to adapt,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/influx-grizzly-bears-compels-montanans-adapt/docview/2323421617/se-2?accountid=14793,Newspaper,11/25/19,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,,Quote from article: Grizzlies are flourishing in Montana thanks to the Endangered Species Act but their return has been accompanied by a rise in human-bear conflicts. Now nonprofit groups like the Blackfoot Challenge and Swan Valley Connections are helping communities learn to coexist with bears by promoting electric fences installing bear-resistant garbage cans removing dead livestock from farms and holding educational events. But different communities have varying reactions to grizzlies and may need different methods to manage them. The Blackfoot Challenge has discovered that the most important tool is the hardest to implement: trust between rural landowners and government agencies.,,,,,
1618,Letter to the editor: Wildlife need more habitat protection,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/letter-editor-wildlife-need-more-habitat/docview/3097573294/se-2?accountid=14793,Newspaper,8/27/24,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,Quote from article: Delisting could halt grizzly bear recovery and reverse the progress obtained. Grizzly bears are a landmark that makes Montana so special. Some politicians and bureaucrats are hostile to grizzly bears and created legal loopholes and regulations to make it easier to kill (or even trophy-hunt) grizzlies if they lose current protections.,Quote from article: Grizzlies are beginning to return but biologists warn that they haven’t fully recovered. The state of Montana doesn’t have adequate rules and safeguards in place. The Yellowstone and Glacier grizzly bear populations are isolated and disconnected from each other and other grizzly populations are struggling to recover from centuries of persecution.,,Quote from article: Grizzlies are beginning to return but biologists warn that they haven’t fully recovered. The state of Montana doesn’t have adequate rules and safeguards in place. The Yellowstone and Glacier grizzly bear populations are isolated and disconnected from each other and other grizzly populations are struggling to recover from centuries of persecution.,,,,,,,
1619,Hunter severely injured by grizzly south of Big Sky,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/hunter-severely-injured-grizzly-south-big-sky/docview/2864757359/se-2?accountid=14793,Newspaper,9/11/23,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,,,Quote from article: Another incident of grizzly-human conflict was reported in the last week. A grizzly with a cub broke in to a home near West Yellowstone and took a container of dog food on Sept. 2 according to a press release from the Montana Department of Fish Wildlife & Parks. Agency officials and peace officers captured the cub and fatally shot the adult bear later that day. The same adult bear killed a 48-year-old woman on July 22 and also mauled someone near Henrys Lake State Park in Idaho three years ago according to the agency.Another incident occurred Aug. 30 along a creek on private land in the Tom Miner Basin about 10 miles north of the western border of Yellowstone National Park. A pair of anglers got in the male grizzly’s path in a surprise encounter and the bear charged according to authorities. One of the anglers shot and killed the bear according to a Montana Department of Fish Wildlife & Parks news release.Four days before that two hunters scouting came within 15 feet of a mother grizzly with her cub in a dense section of the Flathead National Forest according to an Aug. 28 news release from the same agency. The adult bear charged and both hunters shot and killed it. One man was shot in the back of his shoulder as well according to the release.,,,,,
1623,Not out of the woods yet,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/not-out-woods-yet/docview/363119235/se-2?accountid=14793,Newspaper,9/19/05,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,Quote from article: Delisting proponents contend that there are plenty of bears in the Yellowstone area and that we can afford to lose a lot of them. But their assurances that bears have met recovery goals are cold comfort. Bears are not meeting recovery goals. Last year female grizzly bears were killed at a rate that is unsustainable even by the governments own standards. And the recovery targets are themselves deficient: In 1995 a federal judge rejected the grizzly recovery plan as inadequate to ensure a recovered bear population. That plan has never been fixed. Meeting a flawed plans arbitrary recovery targets is passing the wrong test.If we really have enough bears why is the government planning to truck in an outside grizzly every 10 years to prevent genetic inbreeding in the park? Does this sound like success? The truth is we need to increase the size of Yellowstones bear population to reach true recovery.,,,,,Quote from article: That means protecting habitat which is the real sticking point for the Bush administration. Yellowstones grizzlies need more than just Yellowstone National Park they need the surrounding national forest lands as well. The picture for grizzly bears does not look good if the Endangered Species Act is no longer a roadblock to the aggressive oil and gas drilling logging road-building and mining championed by the Bush administration.Are we willing to make room for the grizzlies or do we expect the bears to learn to read imaginary lines on a map? A third of the habitat currently used by Yellowstones grizzlies gets no protection under the governments delisting plan. The government says it wants to maintain Yellowstones current bear numbers. But it has no plans to protect the more than 2 million acres of national forest lands where grizzlies are currently living let alone the additional national forest lands where bears could roam if we were willing to hold back the coming sea of development.And how do we know that the government will deliver on its half-measure promises to protect habitat outside the national parks? Delisting proponents claim that we can protect the bears habitat through Forest Service plans - the same forest plans that the Bush administration says are aspirational not binding.,Quote from article: Without the Endangered Species Acts protection the number of bears killed will only increase. Wyoming Montana and Idaho have all announced plans to hunt Yellowstones grizzlies on Public lands outside Yellowstone Park as soon as the bear is delisted. Four Wyoming counties that currently host grizzlies have already passed county ordinances to kill bears on sight.,Quote from article: This is not the time to take more habitat away from bears that are already contending with declining food sources. Yellowstones grizzlies rely heavily on the seed cones of whitebark pine. In good years whitebark pines produce lots of seed cones feeding the bears and keeping them in the high country away from trouble. In years when the whitebark pine cone production falters grizzlies produce fewer cubs have many more conflicts with humans and are killed by humans at an unsustainable level. Unfortunately whitebark pines are under attack from a variety of fronts: a foreign disease called blister rust mountain pine beetles and a warming climate. That orange hue increasingly seen in Yellowstones forests is not a good sign for bears. The upshot? More dead bears every year. The agencies response? Well monitor the decline of whitebark and figure out what to do when the crash occurs.
1627,Some fashion choices are simply degrading,https://www.proquest.com/docview/995989644/5548575F547640A4PQ/994?accountid=14793&sourcetype=Newspapers,,11/26/05,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,Since only 600 bears remain in the greater Yellowstone ecosystem delisting the grizzly bear would be premature and foolhardy. It is only through protection under the Endangered Species Act that the grizzly bear has increased its population in recent years. Considering that thousands of grizzly bears roamed the West before this country was settled 600 bears does not seem like an overabundance.,,,,,,,
1631,These creatures faced extinction. The Endangered Species Act saved them.,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/blogs-podcasts-websites/these-creatures-faced-extinction-endangered/docview/1876136060/se-2?accountid=14793,Blog Podcast or Website,3/11/17,9/4/24,Grizzly bear AND Endangered Species Act ,ProQuest U.S. Newsstream,Journalist,Journalist,Public,Journalist,Quote from article,,,,,,Quote from article: Grizzlies were listed as threatened in the lower 48 states in 1975 after being reduced to 2 percent of their historic range. In their southernmost territory inside Yellowstone National Park they were fiercely protected and hunting outside the park was ended. The bears numbers have grown from about 130 to 700 in the Greater Yellowstone Ecosystem and now Fish and Wildlife is considering removing them from the list sparking an ongoing fight with ranchers on one side conservationists on the other and the federal government in the middle,,,,,,,
