Num,Document ,url,type,Pub_date,Access_date,Search,Databse,Type_actor,Condensed_gov_actors,Condensed_level,Condensed_function,Political_actor,Pol_actor_persp,Law_detailed,State_of_science,Process_as_is,Distinct_population,Recovery_goals,Agency_capacity,Human_wildlife_conflict,Native_persp,Costs_mgmt,Privateland_losshabitat,Hunting_mgmt,Climate_change
94,Yellowstone bears are still able to fatten up despite loss of some key foods study finds,https://www.proquest.com/docview/2822557430/E51AE94FD2D546E9PQ/26?accountid=14793&sourcetype=Newspapers,Newspaper,6/5/23,7/13/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Steve Daines (R-MT),,,,,,It is past time to celebrate this recovery delist the bears and return the management back to the states Montana Sen. Steve Daines said in a May committee hearing.,,,,,,,
119,Barrasso: The Grizzly Bear in Greater Yellowstone Ecosystem is Fully Recovered. End of Story.,https://www.proquest.com/docview/2440934391/7F783D4B69E4E5CPQ/62?accountid=14793&sourcetype=Other%20Sources,U.S. Senate Documents,9/9/00,7/15/24,grizzly bear AND Grizzly Bear State Management Act,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,John Barrasso (R-WY) and chairman of the Senate Committee on Environment and Public Works (EPW) ,,1) The Grizzly Bear State Management Act delists the grizzly bear in the Greater Yellowstone Ecosystem from the list of threatened species under the Endangered Species Act. It directs the secretary of the Interior to re-issue the final rule delisting the grizzly bear that was published on June 30 2017. 2)It protects the re-issuance of that final rule from judicial review.  3) In 2016 the Obama administration recognized the grizzly bears full recovery when it published a proposed rule delisting the grizzly bear.It concluded - [T]he Yellowstone grizzly bear population has rebounded from as few as 136 bears in 1975 to an estimated 700 or more today. Grizzly bears have more than doubled their range since the mid-1970s and now occupy more than 22500 square mile of the ecosystem. Stable population numbers for grizzly bears for more than a decade also indicate that the [Greater Yellowstone Ecosystem] is at or near its carrying capacity for the bears. In 2017 the Trump administration agreed with the Obama administrations findings. It finalized President Obamas proposed rule delisting the grizzly bear.It also credited the states of Wyoming Montana and Idaho with adopting necessary post-delisting plans and regulations that ensure the species remains recovered under state management.Yet again a liberal federal judge overturned the delisting rule.                                                                                                               4)The Grizzly Bear State Management Act will help address this by giving back to states the authority they need - and have earned - to manage the grizzly bear.5)It will recognize the full recovery of the grizzly bear and delist it once and for all.6)It will honor the conservation investment of people throughout Wyoming Montana and Idaho - and improve the Public safety of our communities.,,That rule was overturned by a liberal federal judge based on an environmental groups claim that a particular food source for the grizzly bear had not been adequately considered during the rulemaking.The importance of that food source was later debunked in a scientific review by the Interagency Grizzly Bear Committee.,,The grizzly bear in the Greater Yellowstone Ecosystem is fully recovered. End of story. It is one of the greatest recovery successes since the Endangered Species Act was enacted in 1973. It is a conservation triumph led by the people of Wyoming Montana and Idaho. It is a triumph that all Americans should celebrate. President Bush President Obama and President Trump agree. Under each of their administrations the U.S. Fish and Wildlife Service determined that the grizzly bear is fully recovered and should be delisted. Wyoming Montana and Idaho fist achieved all of the grizzly bears recovery objectives in 1997 - 23 years ago. By 2003 they had met all of its recovery objectives for six consecutive years - the standard required by the 1993 Grizzly Bear Recovery Plan.,, As the grizzly bear has rebounded conflicts with humans have increased. As the grizzly bear has rebounded conflicts with humans have increased.Members of Wyomings Upper Green River Cattle Association have lost over 1000 head of cattle since 1995.In 2018 the Wyoming Game and Fish Department had to capture 53 individual grizzly bears to prevent or resolve conflicts.These bears not only mauled livestock but tragically killed a Wyoming elk hunting guide and injured his client.This year grizzly bear attacks injuring humans are happening at a record rate.By July 1 seven people were attacked and injured by grizzly bears in the Greater Yellowstone Ecosystem - more than the first six months of any other year since data was first collected in 1992.This is a higher total than six of the previous ten years - an unsettling trend since over 80 percent of conflicts generally occur in the second half of the year.,,Since 1980 - 40 years ago - the Wyoming Game and Fish Department has spent more than $50 million in grizzly bear recovery. The states of Montana and Idaho and stakeholders throughout the Greater Yellowstone Ecosystem have invested millions more.,,,
122,BRINGING THE BEARS BACK Federal government restarts effort to restore grizzlies to North Cascades,https://www.proquest.com/docview/2735539619/826736D5A47D4D35PQ/15?accountid=14793&sourcetype=Newspapers,Newspaper,11/11/22,7/15/24,grizzly bear AND Grizzly Bear State Management Act,ProQuest U.S. Newsstream,4th District U.S. Rep.,Federal Legislature,Federal,Legislature,Dan Newhouse,The introduction of grizzly bears into the North Cascades would directly and negatively impact the people and the communities I represent,,,,,,,My constituents and I have consistently opposed proposals to do so under multiple administrations because introducing an apex predator to the area would threaten the families wildlife and livestock of North Central Washington. It is disappointing that local voices are once again being ignored by federal bureaucrats even after the last process was discontinued due to overwhelming local opposition.,,,,,
133,State to fight grizzly bear transplant Kempthorne vows to stop expected federal plan: [IDAHO Edition],https://www.proquest.com/docview/394888306/826736D5A47D4D35PQ/10?accountid=14793&sourcetype=Newspapers,Newspaper,6/5/00,7/15/24,grizzly bear AND Grizzly Bear State Management Act,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Larry Akey spokesman for Senator Conrad Burns of Montana,,,,,,,,The communities are divided said Larry Akey spokesman for U.S. Sen. Conrad Burns of Montana. If the bears arent good neighbors theyre not going to be neighbors very long.,,,,,
162,Grizzlies once thrived in these wilds. The U.S. may bring them back.,https://www.proquest.com/docview/2735578234/54E934D9B64248BBPQ/181?accountid=14793&sourcetype=Blogs%20Podcasts%20&%20Websites,NOTRELEVANT,11/13/22,7/17/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Congress (House of Representatives),Federal Legislature,Federal,Legislature,Dan Newhouse (R-Wash.),Against introduction of Grizzlys in Washington saying The introduction of grizzly bears into the North Cascades would directly and negatively impact the people & communities I represent It is disappointing our voices are once again being ignored.,,,,,,,,,,,,
175,PREDATOR IN THE CROSSHAIRS; With the possible removal of federal protections later this year what comes next for the embattled Great Bear in Idaho?,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/predator-crosshairs-with-possible-removal-federal/docview/367364253/se-2?accountid=14793,Newspaper,5/25/05,7/17/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Congress (House of Representatives),Federal Legislature,Federal,Legislature,Butch Otter U.S. Congressman,,,The grizzly bear program is yet another example of the federal government acting without verifiable science to impose stringent regulation over the lives of Idaho citizens Otter said. I agree with Gov. Kempthorne that the program violates the Tenth Amendment and the National Environmental Policy Act and I applaud the Bush administration for having the wisdom to listen to the people who live and work here.,,,,,,,,,,
181,Wyoming delegations applauds delisting of grizzly bears,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/wyoming-delegations-applauds-delisting-grizzly/docview/1918332176/se-2?accountid=14793,Newspaper,6/29/17,7/18/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,Mike Enzi U.S. Senator R-Wyo,,,,,,I am pleased to see the administration recognizing the recovered status of the grizzly bear in the Yellowstone area said Enzi. Grizzly bears in Yellowstone have been recovered for many years so it is good to see management returned to state hands where it belongs. This is great news for Wyoming.,,,,,,,
182,Wyoming delegations applauds delisting of grizzly bears,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/wyoming-delegations-applauds-delisting-grizzly/docview/1918332176/se-2?accountid=14793,Newspaper,6/29/17,7/18/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Senate,Federal Legislature,Federal,Legislature,John Barrasso U.S. Senator R-Wyo,After years of Washington moving the goal posts Wyoming should be able to move forward with managing our wildlife.,,,,,We already know the grizzly bear has fully recovered in Wyoming said Barrasso. After years of Washington moving the goal posts Wyoming should be able to move forward with managing our wildlife. The grizzly bears recovery demonstrates just how capable Wyoming is in effectively recovering threatened and endangered species.,,,,,,,
183,Wyoming delegations applauds delisting of grizzly bears,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/wyoming-delegations-applauds-delisting-grizzly/docview/1918332176/se-2?accountid=14793,Newspaper,6/29/17,7/18/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Congress (House of Representatives),Federal Legislature,Federal,Legislature,Liz Cheney Representative R-Wyo,,,This welcome decision to delist the grizzly bear from the Endangered Species Act rightly returns management of the Yellowstone grizzly to where it should be under the control of experts in Wyoming not Washington.,,,For years the Obama Administration failed to acknowledge the successful hard work and dedication of the state tribal and federal partners which led to the healthy recovery of the grizzly bear population inside the Greater Yellowstone Ecosystem said Cheney.,,,,,,,
200,Treaty unites Indian Country in stand against major threats from DAPL to grizzly delisting,https://www.proquest.com/docview/1856560459/B5E5A715CB764EEEPQ/263?accountid=14793&sourcetype=Newspapers,Newspaper,12/1/16,7/18/24,grizzly bear AND Delist,ProQuest U.S. Newsstream,Congressman,Federal Legislature,Federal,Legislature,Ryan Zinke Trumps nominee for Interior Secretary Montana Congressman,,was a vocal supporter of the Native American Energy Act (NAEA) which Chief Grier des a 21st Century equivalent of the Homestead Act for the benefit of Big Energy.,,,,,,,,,,,
